año,trimestre,tipo_construccion,estado_constructivo,estrato,ampliacion,licencia,area_zonas_comunes,area_uni_parqueaderos,cantidad_parqueaderos,precio_unitario_parqueadero,sistema_constructivo,mano_obra_permanente,mano_obra_temporal,mano_obra_noremunerada,area_vendible,numero_destinaciones,numero_destinaciones_vendidas,numero_destinaciones_inventario,numero_edificaciones,numero_pisos,precio_metro2_miles,area_total_construida,area_uni_destino,rango_precios_vivienda,usa_concreto_mezcla,usa_concreto_premezcla,unidad_destinaciones_vip,unidad_destinaciones_vis,unidad_destinaciones_novis,precio_mts_millones
2007,3,oficinas,2,3,Nueva,sin licencia,3,NA,NA,NA,sistema aporticado,0,0,0,37,1,0,0,0,0,800,40,37,más de 350 smmlv,NA,NA,NA,NA,NA,800000
2007,3,locales,2,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,38,1,0,0,0,0,800,38,38,más de 350 smmlv,NA,NA,NA,NA,NA,800000
2007,3,casas,2,3,Nueva,sin licencia,0,NA,NA,NA,mamposteria aporticada,0,0,0,100,1,0,0,0,0,900,100,100,151 - 350 smmlv,NA,NA,NA,NA,1,900000
2007,3,apartamentos,1,2,Nueva,sin licencia,102,12,4,5511,sistema aporticado,0,1,0,608,4,0,0,0,0,600,710,152,151 - 350 smmlv,NA,NA,NA,NA,4,600000
2007,3,locales,1,2,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,1,0,40,1,0,0,0,0,700,40,40,más de 350 smmlv,NA,NA,NA,NA,NA,700000
2007,3,casas,1,2,Nueva,sin licencia,0,NA,NA,NA,mamposteria aporticada,0,3,0,80,1,0,0,0,0,500,80,80,91 - 110 smmlv,NA,NA,NA,1,NA,500000
2007,3,otros,3,2,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,870,1,0,0,0,0,500,870,870,más de 350 smmlv,NA,NA,NA,NA,NA,500000
2007,3,apartamentos,1,2,Nueva,sin licencia,14,NA,NA,NA,sistema aporticado,0,2,0,214,3,0,0,0,0,500,228,71,91 - 110 smmlv,NA,NA,NA,3,NA,500000
2007,3,apartamentos,2,3,Nueva,sin licencia,13,NA,NA,NA,sistema aporticado,0,0,0,180,3,0,0,0,0,800,193,60,111 - 150 smmlv,NA,NA,NA,3,NA,800000
2007,3,bodegas,3,4,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,300,1,0,0,0,0,800,300,300,más de 350 smmlv,NA,NA,NA,NA,NA,800000
2007,3,apartamentos,3,5,Nueva,sin licencia,195,12,24,6000,sistema aporticado,0,0,0,1745,18,0,2,0,0,1560,1940,96,151 - 350 smmlv,NA,NA,NA,NA,18,1560000
2007,3,apartamentos,1,4,Nueva,sin licencia,880,14,84,8300,sistema aporticado,2,15,0,7916,84,0,0,0,0,1700,8796,94,151 - 350 smmlv,NA,NA,NA,NA,84,1700000
2007,3,casas,2,5,Nueva,sin licencia,0,NA,NA,NA,mamposteria aporticada,0,0,0,256,1,0,0,0,0,1500,256,256,más de 350 smmlv,NA,NA,NA,NA,1,1500000
2007,3,apartamentos,1,5,Nueva,sin licencia,1155,12,86,10500,sistema aporticado,18,70,0,10358,56,0,0,0,0,2000,11513,184,más de 350 smmlv,NA,NA,NA,NA,56,2000000
2007,3,apartamentos,1,5,Nueva,sin licencia,1990,12,150,8000,sistema industrial,10,120,0,12096,132,0,0,0,0,1550,14086,91,151 - 350 smmlv,NA,NA,NA,NA,132,1550000
2007,3,casas,1,4,Nueva,sin licencia,0,NA,NA,NA,mamposteria aporticada,15,90,0,12800,123,0,0,0,0,1780,12800,104,más de 350 smmlv,NA,NA,NA,NA,123,1780000
2007,3,apartamentos,2,3,Nueva,sin licencia,155,12,19,10000,sistema aporticado,0,0,0,2406,19,0,4,0,6,1000,2561,114,151 - 350 smmlv,NA,NA,NA,NA,19,1000000
2007,3,locales,2,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,40,1,0,0,0,1,1290,40,40,más de 350 smmlv,NA,NA,NA,NA,NA,1290000
2007,3,apartamentos,1,3,Nueva,sin licencia,39,NA,NA,NA,sistema aporticado,0,3,0,735,3,0,0,0,0,600,774,245,151 - 350 smmlv,NA,NA,NA,NA,3,600000
2007,3,apartamentos,2,3,Nueva,sin licencia,28,NA,NA,NA,sistema aporticado,0,0,0,380,3,0,0,0,0,600,408,126,151 - 350 smmlv,NA,NA,NA,NA,3,600000
2007,3,apartamentos,1,3,ampliacion,sin licencia,87,NA,NA,NA,sistema aporticado,0,6,0,1163,5,0,0,0,0,650,1250,232,151 - 350 smmlv,NA,NA,NA,NA,5,650000
2007,3,apartamentos,3,4,Nueva,sin licencia,632,12,42,13000,sistema aporticado,0,0,0,2268,28,2,0,0,0,1550,2900,81,151 - 350 smmlv,NA,NA,NA,NA,28,1550000
2007,3,apartamentos,1,5,Nueva,sin licencia,5495,12,167,10000,sistema aporticado,10,180,0,14752,126,0,0,0,0,1700,20247,117,más de 350 smmlv,NA,NA,NA,NA,126,1700000
2007,3,apartamentos,3,5,Nueva,sin licencia,5496,12,112,10000,sistema aporticado,0,0,0,9459,56,0,0,0,0,2210,14955,168,más de 350 smmlv,NA,NA,NA,NA,56,2210000
2007,3,apartamentos,3,5,Nueva,sin licencia,364,12,24,15000,sistema aporticado,0,0,0,2673,17,0,0,0,0,1700,3037,157,más de 350 smmlv,NA,NA,NA,NA,17,1700000
2007,3,apartamentos,3,5,Nueva,sin licencia,1070,12,50,10000,sistema aporticado,0,0,0,4368,45,7,0,0,0,1700,5438,97,151 - 350 smmlv,NA,NA,NA,NA,45,1700000
